atr_name	tag
Accession Number	0008,0050
Acquisition Comments	0018,4000
Acquisition Conte...	0040,0555
Acquisition Date	0008,0022
Acquisition DateTime	0008,002A
Acquisition Devic...	0018,1400
Acquisition Field...	0018,11BB
Acquisition Proto...	0018,9424
Acquisition Time	0008,0032
Acquisition UID	0008,0017
Actual Human Perf...	0040,4035
Additional Patien...	0010,21B0
Address (Trial)	0040,A353
Admission ID	0038,0010
Admitting Date	0038,0020
Admitting Diagnos...	0008,1084
Admitting Diagnos...	0008,1080
Admitting Time	0038,0021
Affected SOP Inst...	0000,1000
Allergies	0010,2110
Annotation Group ...	006A,0006
Annotation Group ...	006A,0005
Annotation Group UID	006A,0003
Approval Status D...	0044,0004
Arbitrary	4000,0010
Assertion DateTime	0044,0104
Assertion Expirat...	0044,0105
Attribute Modific...	0400,0562
Author Observer S...	0040,A078
Barcode Value	2200,0005
Beam Description	300A,00C3
Beam Hold Transit...	300C,0127
Bolus Description	300A,00DD
Branch of Service	0010,1081
Calibration Date	0014,407E
Calibration DateTime	0018,1203
Calibration Time	0014,407C
Camera Owner Name	0016,004D
Cassette ID	0018,1007
Certified Timestamp	0400,0310
Clinical Trial Co...	0012,0060
Clinical Trial Pr...	0012,0082
Clinical Trial Pr...	0012,0081
Clinical Trial Pr...	0012,0020
Clinical Trial Pr...	0012,0021
Clinical Trial Se...	0012,0072
Clinical Trial Se...	0012,0071
Clinical Trial Si...	0012,0030
Clinical Trial Si...	0012,0031
Clinical Trial Sp...	0012,0010
Clinical Trial Su...	0012,0040
Clinical Trial Su...	0012,0042
Clinical Trial Ti...	0012,0051
Clinical Trial Ti...	0012,0050
Comments on Radia...	0040,0310
Comments on the P...	0040,0280
Compensator Descr...	300A,02EB
Concatenation UID	0020,9161
Conceptual Volume...	3010,000F
Conceptual Volume...	3010,0017
Conceptual Volume...	3010,0006
Confidentiality C...	0040,3001
Constituent Conce...	3010,0013
Consulting Physic...	0008,009C
Consulting Physic...	0008,009D
Container Compone...	0050,001B
Container Descrip...	0040,051A
Container Identifier	0040,0512
Content Creator's...	0070,0086
Content Creator's...	0070,0084
Content Date	0008,0023
Content Sequence	0040,A730
Content Time	0008,0033
Context Group Loc...	0008,0107
Context Group Ver...	0008,0106
Contrast/Bolus Agent	0018,0010
Contrast/Bolus St...	0018,1042
Contrast/Bolus St...	0018,1043
Contribution Date...	0018,A002
Contribution Desc...	0018,A003
Country of Residence	0010,2150
Creation Date	2100,0040
Creation Time	2100,0050
Current Observer ...	0040,A307
Current Patient L...	0038,0300
Curve Data	50xx,xxxx
Curve Date	0008,0025
Curve Time	0008,0035
Custodial Organiz...	0040,A07C
Data Set Trailing...	FFFC,FFFC
Date	0040,A121
Date of Document ...	0040,A110
Date of Last Cali...	0018,1200
Date of Last Dete...	0018,700C
Date of Secondary...	0018,1012
DateTime	0040,A120
DateTime of Last ...	0018,1202
Decay Correction ...	0018,9701
Decomposition Des...	0018,937F
Derivation Descri...	0008,2111
Detector ID	0018,700A
Device Alternate ...	3010,001B
Device Description	0050,0020
Device Label	3010,002D
Device Serial Number	0018,1000
Device Setting De...	0016,004B
Device UID	0018,1002
Digital Signature...	0400,0105
Digital Signature...	FFFA,FFFA
Digital Signature...	0400,0100
Dimension Organiz...	0020,9164
Discharge Date	0038,0030
Discharge Diagnos...	0038,0040
Discharge Time	0038,0032
Displacement Refe...	300A,079A
Distribution Address	4008,011A
Distribution Name	4008,0119
Dose Reference De...	300A,0016
Dose Reference UID	300A,0013
Dosimetric Object...	3010,006E
Effective DateTime	0068,6226
End Acquisition D...	0018,9517
Entity Description	3010,0037
Entity Label	3010,0035
Entity Long Label	3010,0038
Entity Name	3010,0036
Equipment Frame o...	300A,0676
Ethics Committee ...	0012,0087
Ethics Committee ...	0012,0086
Ethnic Group	0010,2160
Exclusion Start D...	0018,9804
Expected Completi...	0040,4011
Failed SOP Instan...	0008,0058
Fiducial UID	0070,031A
Filler Order Numb...	0040,2017
Findings Group Re...	0040,A023
Findings Group Re...	0040,A024
First Treatment Date	3008,0054
Fixation Device D...	300A,0196
Flow Identifier	0034,0002
Flow Identifier S...	0034,0001
Fractionation Notes	3010,007F
Fraction Group De...	300A,0072
Frame Acquisition...	0018,9074
Frame Comments	0020,9158
Frame of Referenc...	0020,0052
Frame Origin Time...	0034,0007
Frame Reference D...	0018,9151
Functional Sync P...	0018,9623
Gantry ID	0018,1008
Generator ID	0018,1005
GPS Altitude​	0016,0076
GPS Altitude​ Ref	0016,0075
GPS Area ​Informa...	0016,008C
GPS Date​ Stamp	0016,008D
GPS Dest ​Bearing	0016,0088
GPS Dest​ Bearing...	0016,0087
GPS Dest ​Distance	0016,008A
GPS Dest ​Distanc...	0016,0089
GPS Dest​ Latitude	0016,0084
GPS Dest​ Latitud...	0016,0083
GPS Dest ​Longitude	0016,0086
GPS Dest ​Longitu...	0016,0085
GPS Differential	0016,008E
GPS DOP	0016,007B
GPS Img ​Direction	0016,0081
GPS Img​ Directio...	0016,0080
GPS Latitude​	0016,0072
GPS Latitude​ Ref	0016,0071
GPS Longitude	0016,0074
GPS Longitude Ref	0016,0073
GPS Map​ Datum	0016,0082
GPS Measure ​Mode	0016,007A
GPS Processing​ M...	0016,008B
GPS Satellites	0016,0078
GPS Speed​	0016,007D
GPS Speed​ Ref	0016,007C
GPS Status	0016,0079
GPS Time​ Stamp	0016,0077
GPS Track	0016,007F
GPS Track ​Ref	0016,007E
GPS Version ID	0016,0070
Graphic Annotatio...	0070,0001
Hanging Protocol ...	0072,000A
HL7 Document Effe...	0040,E004
Human Performer's...	0040,4037
Human Performer's...	0040,4036
Icon Image Sequen...	0088,0200
Identifying Comments	0008,4000
Image Comments	0020,4000
Image Presentatio...	0028,4000
Imaging Service R...	0040,2400
Impedance Measure...	003A,0314
Impressions	4008,0300
Information Issue...	0068,6270
Instance Coercion...	0008,0015
Instance Creation...	0008,0012
Instance Creation...	0008,0013
Instance Creator UID	0008,0014
Instance Origin S...	0400,0600
Institution Address	0008,0081
Institutional Dep...	0008,1040
Institutional Dep...	0008,1041
Institution Code ...	0008,0082
Institution Name	0008,0080
Instruction Perfo...	0018,9919
Insurance Plan Id...	0010,1050
Intended Fraction...	3010,0085
Intended Phase En...	3010,004D
Intended Phase St...	3010,004C
Intended Recipien...	0040,1011
Interlock DateTime	300A,0741
Interlock Descrip...	300A,0742
Interlock Origin ...	300A,0783
Interpretation Ap...	4008,0112
Interpretation Ap...	4008,0113
Interpretation Ap...	4008,0111
Interpretation Au...	4008,010C
Interpretation Di...	4008,0115
Interpretation ID	4008,0200
Interpretation ID...	4008,0202
Interpretation Re...	4008,0100
Interpretation Re...	4008,0101
Interpretation Re...	4008,0102
Interpretation Text	4008,010B
Interpretation Tr...	4008,010A
Interpretation Tr...	4008,0108
Interpretation Tr...	4008,0109
Intervention Drug...	0018,0035
Intervention Drug...	0018,0027
Irradiation Event...	0008,3010
Issue Date of Ima...	0040,2004
Issuer of Admissi...	0038,0011
Issuer of Admissi...	0038,0014
Issuer of Patient ID	0010,0021
Issuer of Service...	0038,0061
Issuer of Service...	0038,0064
Issuer of the Con...	0040,0513
Issuer of the Spe...	0040,0562
Issue Time of Ima...	0040,2005
Label Text	2200,0002
Large Palette Col...	0028,1214
Last Menstrual Date	0010,21D0
Lens Make	0016,004F
Lens Model	0016,0050
Lens Serial Number	0016,0051
Lens Specification	0016,004E
Long Device Descr...	0050,0021
MAC	0400,0404
Maker Note	0016,002B
Manufacturer's De...	0018,100B
Manufacturer's De...	3010,0043
Media Storage SOP...	0002,0003
Medical Alerts	0010,2000
Medical Record Lo...	0010,1090
Military Rank	0010,1080
Modified Attribut...	0400,0550
Modified Image Date	0020,3403
Modified Image De...	0020,3406
Modified Image Time	0020,3405
Modifying Device ID	0020,3401
Modifying System	0400,0563
Most Recent Treat...	3008,0056
Multi-energy Acqu...	0018,937B
Multiplex Group UID	003A,0310
Name of Physician...	0008,1060
Names of Intended...	0040,1010
Nonconforming Dat...	0400,0552
Nonconforming Mod...	0400,0551
Observation Date ...	0040,A192
Observation DateTime	0040,A032
Observation Start...	0040,A033
Observation Subje...	0040,A402
Observation Time ...	0040,A193
Observation UID	0040,A171
Occupation	0010,2180
Operator Identifi...	0008,1072
Operators' Name	0008,1070
Order Callback Ph...	0040,2010
Order Callback Te...	0040,2011
Order Entered By	0040,2008
Order Enterer's L...	0040,2009
Original Attribut...	0400,0561
Other Patient IDs	0010,1000
Other Patient IDs...	0010,1002
Other Patient Names	0010,1001
Overlay Comments	60xx,4000
Overlay Data	60xx,3000
Overlay Date	0008,0024
Overlay Time	0008,0034
Override DateTime	300A,0760
Palette Color Loo...	0028,1199
Participant Sequence	0040,A07A
Participation Dat...	0040,A082
Patient's Address	0010,1040
Patient's Age	0010,1010
Patient's Birth Date	0010,0030
Patient's Birth Name	0010,1005
Patient's Birth Time	0010,0032
Patient's Institu...	0038,0400
Patient's Insuran...	0010,0050
Patient's Mother'...	0010,1060
Patient's Name	0010,0010
Patient's Primary...	0010,0101
Patient's Primary...	0010,0102
Patient's Religio...	0010,21F0
Patient's Sex	0010,0040
Patient's Sex Neu...	0010,2203
Patient's Size	0010,1020
Patient's Telecom...	0010,2155
Patient's Telepho...	0010,2154
Patient's Weight	0010,1030
Patient Comments	0010,4000
Patient ID	0010,0020
Patient Setup Pho...	300A,0794
Patient Setup UID	300A,0650
Patient State	0038,0500
Patient Transport...	0040,1004
Patient Treatment...	300A,0792
Patient Treatment...	300A,078E
Performed Location	0040,0243
Performed Procedu...	0040,0254
Performed Procedu...	0040,0250
Performed Procedu...	0040,4051
Performed Procedu...	0040,0251
Performed Procedu...	0040,0253
Performed Procedu...	0040,0244
Performed Procedu...	0040,4050
Performed Procedu...	0040,0245
Performed Station...	0040,0241
Performed Station...	0040,4030
Performed Station...	0040,0242
Performed Station...	0040,4028
Performing Physic...	0008,1050
Performing Physic...	0008,1052
Person's Address	0040,1102
Person's Telecom ...	0040,1104
Person's Telephon...	0040,1103
Person Identifica...	0040,1101
Person Name	0040,A123
Physician(s) of R...	0008,1048
Physician(s) of R...	0008,1049
Physician(s) Read...	0008,1062
Physician Approvi...	4008,0114
Placer Order Numb...	0040,2016
Plate ID	0018,1004
Pregnancy Status	0010,21C0
Pre-Medication	0040,0012
Prescription Desc...	300A,000E
Prescription Notes	3010,007B
Prescription Note...	3010,0081
Presentation Crea...	0070,0082
Presentation Crea...	0070,0083
Presentation Disp...	0070,1101
Presentation Sequ...	0070,1102
Prior Treatment D...	3010,0061
Private attributes	gggg,eeee where gggg is odd
Procedure Step Ca...	0040,4052
Product Expiratio...	0044,000B
Protocol Name	0018,1030
Pyramid Description	0008,1088
Pyramid Label	0020,0027
Pyramid UID	0008,0019
Radiation Dose Id...	300A,0619
Radiation Dose In...	300A,0623
Radiation Generat...	300A,067D
Radiation Generat...	300A,067C
Radiopharmaceutic...	0018,1078
Radiopharmaceutic...	0018,1072
Radiopharmaceutic...	0018,1079
Radiopharmaceutic...	0018,1073
Reason for Omissi...	300C,0113
Reason for Reques...	0040,100A
Reason for Study	0032,1030
Reason for Supers...	3010,005C
Reason for the At...	0400,0565
Reason for the Im...	0040,2001
Reason for the Re...	0040,1002
Reason for Visit	0032,1066
Reason for Visit ...	0032,1067
Recorded RT Contr...	300A,073A
Referenced Concep...	3010,000B
Referenced DateTime	0040,A13A
Referenced Digita...	0400,0402
Referenced Dose R...	300A,0083
Referenced Dosime...	3010,006F
Referenced Fiduci...	3010,0031
Referenced Frame ...	3006,0024
Referenced Genera...	0040,4023
Referenced Image ...	0008,1140
Referenced Observ...	0040,A172
Referenced Patien...	0038,0004
Referenced Patien...	0010,1100
Referenced Patien...	0008,1120
Referenced Perfor...	0008,1111
Referenced SOP In...	0400,0403
Referenced SOP In...	0008,1155
Referenced SOP In...	0004,1511
Referenced Study ...	0008,1110
Referenced Treatm...	300A,0785
Referring Physici...	0008,0092
Referring Physici...	0008,0090
Referring Physici...	0008,0094
Referring Physici...	0008,0096
Region of Residence	0010,2152
Related Frame of ...	3006,00C2
Request Attribute...	0040,0275
Requested Contras...	0032,1070
Requested Procedu...	0040,1400
Requested Procedu...	0032,1060
Requested Procedu...	0040,1001
Requested Procedu...	0040,1005
Requested Series ...	0018,9937
Requested SOP Ins...	0000,1001
Requesting Physician	0032,1032
Requesting Service	0032,1033
Respiratory Motio...	0018,9185
Responsible Organ...	0010,2299
Responsible Person	0010,2297
Results Comments	4008,4000
Results Distribut...	4008,0118
Results ID	4008,0040
Results ID Issuer	4008,0042
Review Date	300E,0004
Reviewer Name	300E,0008
Review Time	300E,0005
ROI Description	3006,0028
ROI Generation De...	3006,0038
ROI Interpreter	3006,00A6
ROI Name	3006,0026
ROI Observation D...	3006,0088
ROI Observation L...	3006,0085
RT Accessory Devi...	300A,0615
RT Accessory Hold...	300A,0611
RT Physician Inte...	3010,005A
RT Plan Date	300A,0006
RT Plan Description	300A,0004
RT Plan Label	300A,0002
RT Plan Name	300A,0003
RT Plan Time	300A,0007
RT Prescription L...	3010,0054
RT Tolerance Set ...	300A,062A
RT Treatment Appr...	3010,0056
RT Treatment Phas...	3010,003B
Safe Position Exi...	3008,0162
Safe Position Exi...	3008,0164
Safe Position Ret...	3008,0166
Safe Position Ret...	3008,0168
Scheduled Admissi...	0038,001A
Scheduled Admissi...	0038,001B
Scheduled Dischar...	0038,001C
Scheduled Dischar...	0038,001D
Scheduled Human P...	0040,4034
Scheduled Patient...	0038,001E
Scheduled Perform...	0040,0006
Scheduled Perform...	0040,000B
Scheduled Procedu...	0040,0007
Scheduled Procedu...	0040,0004
Scheduled Procedu...	0040,0005
Scheduled Procedu...	0040,4008
Scheduled Procedu...	0040,0009
Scheduled Procedu...	0040,0011
Scheduled Procedu...	0040,4010
Scheduled Procedu...	0040,0002
Scheduled Procedu...	0040,4005
Scheduled Procedu...	0040,0003
Scheduled Station...	0040,0001
Scheduled Station...	0040,4027
Scheduled Station...	0040,0010
Scheduled Station...	0040,4025
Scheduled Study L...	0032,1020
Scheduled Study L...	0032,1021
Scheduled Study S...	0032,1000
Scheduled Study S...	0032,1001
Scheduled Study S...	0032,1010
Scheduled Study S...	0032,1011
Selector AS Value	0072,005F
